;1:00:00;2:00:00;3:00:00;4:00:00;5:00:00;6:00:00;7:00:00;8:00:00;9:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;0:00:00
01.07.2019;90;37;30;76;110;119;50;49;47;113;67;73;78;98;57;49;119;41;32;80;108;98;85;25
02.07.2019;101;93;28;56;107;110;26;40;77;25;53;24;65;103;31;73;45;23;86;53;54;30;107;46
03.07.2019;22;65;51;75;75;47;88;115;53;21;46;73;98;64;118;110;56;102;89;53;29;107;50;73
04.07.2019;33;117;93;53;115;31;52;76;109;40;39;74;57;40;67;20;105;99;119;90;23;63;51;53
05.07.2019;115;71;82;36;99;102;88;110;110;117;41;104;69;87;112;88;70;109;77;69;99;85;104;61
06.07.2019;105;100;57;33;78;90;36;44;68;114;81;117;119;86;45;29;75;115;104;105;117;87;92;25
07.07.2019;68;62;79;63;80;101;85;38;101;44;20;43;119;50;57;92;47;111;59;59;94;47;72;103
08.07.2019;91;57;52;120;57;72;119;103;40;110;64;105;59;55;24;22;96;53;119;37;45;94;42;67
09.07.2019;120;70;88;107;89;62;67;88;91;64;55;55;91;102;59;41;48;51;102;62;26;70;110;75
10.07.2019;23;22;71;22;69;44;83;54;37;59;104;34;41;105;29;67;94;91;114;63;47;68;75;27
11.07.2019;68;85;35;100;110;70;67;24;89;51;96;99;31;105;26;48;38;87;43;32;81;29;22;45
12.07.2019;99;36;46;101;91;20;24;48;47;38;82;109;51;39;42;44;108;101;114;117;57;87;84;36
13.07.2019;65;109;78;54;85;60;92;105;77;30;64;45;111;92;117;35;88;23;99;103;107;115;59;28
14.07.2019;54;62;100;39;95;84;37;67;102;23;106;56;96;108;103;48;31;56;83;102;40;83;113;57
15.07.2019;49;72;32;33;44;79;59;83;29;89;30;115;25;91;115;22;105;75;51;50;85;57;27;82
16.07.2019;51;30;110;57;106;50;35;80;47;35;94;119;71;78;93;59;40;95;74;51;85;107;69;113
17.07.2019;88;88;70;100;21;78;40;86;45;98;29;87;101;72;60;42;52;113;62;103;33;108;34;28
18.07.2019;56;71;109;44;77;82;95;79;46;116;104;65;69;47;42;99;66;28;116;106;76;44;52;59
19.07.2019;110;115;63;115;77;43;45;22;23;89;57;25;34;55;72;30;91;48;61;64;59;97;109;85
20.07.2019;118;30;32;59;93;30;71;35;38;90;79;43;27;100;41;57;78;70;91;96;32;100;62;60
21.07.2019;117;47;60;117;60;106;60;29;95;107;31;53;41;59;76;107;90;117;92;50;92;75;91;77
22.07.2019;102;41;25;22;42;116;103;33;83;77;30;32;26;23;109;50;90;21;44;54;42;100;34;101
23.07.2019;39;114;33;44;62;28;105;35;31;110;32;21;43;20;42;98;24;95;97;85;25;105;96;33
24.07.2019;49;22;63;101;73;70;90;72;103;37;110;89;33;103;78;103;50;69;90;37;48;102;73;104
25.07.2019;74;80;82;88;34;82;29;106;77;33;78;71;77;37;54;106;118;105;66;71;22;48;22;90
26.07.2019;77;74;57;64;111;116;68;89;25;81;28;62;39;84;56;51;46;57;42;79;67;29;92;90
27.07.2019;106;88;74;116;24;62;112;115;101;95;102;107;73;75;57;41;24;77;37;33;46;109;35;27
28.07.2019;97;108;91;40;32;54;66;77;94;95;27;55;89;83;53;65;103;76;96;104;75;22;70;37
29.07.2019;47;28;117;36;21;64;30;76;79;40;85;83;71;89;57;24;59;50;27;104;25;103;81;74
30.07.2019;65;47;93;107;50;94;43;29;110;21;113;22;25;67;32;78;82;118;53;40;92;113;67;30
31.07.2019;73;107;95;113;104;112;75;43;94;22;64;49;92;33;72;116;27;114;100;21;56;40;107;63
01.08.2019;63;104;92;52;43;120;68;113;91;112;43;113;67;107;105;71;75;88;86;34;106;27;69;43
02.08.2019;112;95;111;88;76;80;38;47;103;112;26;69;105;90;72;64;75;57;72;118;32;62;34;31
03.08.2019;99;96;25;60;102;50;120;117;68;44;63;115;94;75;23;104;92;71;105;50;119;118;65;76
04.08.2019;61;79;64;107;30;81;67;114;40;91;87;92;36;57;61;97;65;85;92;85;113;35;32;70
05.08.2019;38;20;23;64;119;117;22;60;101;107;99;30;27;89;80;65;43;42;59;35;106;89;119;58
06.08.2019;81;30;99;65;67;89;100;59;43;25;98;37;112;33;82;80;34;37;23;25;92;49;41;30
07.08.2019;97;71;54;106;31;75;115;119;111;88;55;80;73;89;28;74;117;26;119;34;118;92;45;120
08.08.2019;54;31;102;26;71;38;85;117;85;59;115;49;54;85;105;78;95;96;37;55;38;108;118;88
09.08.2019;117;83;42;83;93;41;114;52;42;26;44;104;30;80;101;120;103;52;110;104;37;118;70;66
10.08.2019;62;117;87;63;73;21;114;54;39;117;61;47;54;70;117;92;70;113;38;76;51;35;94;63
11.08.2019;77;73;83;22;60;86;45;82;77;112;94;112;115;118;32;69;99;43;110;80;92;110;70;95
12.08.2019;55;81;77;52;23;85;91;83;36;68;53;29;26;47;44;42;40;35;26;110;86;117;113;44
13.08.2019;120;26;108;54;107;86;101;41;73;100;61;62;85;94;111;82;27;93;45;41;59;92;32;63
14.08.2019;75;98;24;72;87;68;51;28;60;50;119;108;112;86;53;95;105;56;32;89;57;34;95;57
15.08.2019;41;64;70;85;114;35;57;75;66;37;34;49;41;33;100;68;83;40;70;81;57;101;22;67
16.08.2019;52;85;68;109;52;40;49;83;46;115;105;48;69;24;105;59;91;61;92;52;73;31;69;20
17.08.2019;43;89;108;117;84;107;75;99;108;60;66;73;61;86;119;84;60;114;25;26;83;42;113;86
18.08.2019;102;120;89;32;57;47;112;60;83;31;45;34;44;33;63;72;110;95;58;110;43;107;120;25
19.08.2019;119;107;22;56;34;39;63;100;58;59;98;33;31;104;33;95;78;74;38;73;68;28;113;38
20.08.2019;96;89;43;87;23;53;89;42;52;92;82;104;78;58;78;22;30;114;28;73;89;106;70;81
21.08.2019;73;80;109;40;96;58;25;100;95;56;102;88;93;62;71;113;97;108;51;100;49;54;28;117
22.08.2019;101;72;94;98;33;89;105;119;98;114;97;35;27;44;98;33;73;27;52;98;101;65;23;69
23.08.2019;82;98;32;25;64;37;78;107;97;87;96;83;22;39;102;117;22;119;94;118;53;68;76;117
